Coins Repo Ticker,Base Ticker,CMC Name,Coins Repo Name,Coins Repo Fname
SOL-PLG20,SOL,Wrapped Solana,Solana,Solana
SOL-PLG20,SOL,SonicObamaLockheedMartin69Inu,Solana,Solana
SOL-PLG20,SOL,Solidify,Solana,Solana
SRM-ERC20,SRM,Serum,Serum,Serum
SRM-ERC20,SRM,Solareum,Serum,Serum
SRM-PLG20,SRM,Serum,Serum,Serum
SRM-PLG20,SRM,Solareum,Serum,Serum
SWAP-BEP20,SWAP,TrustSwap,SafeSwap,SafeSwap
SYS,SYS,Syscoin,Syscoin,Syscoin
SYS-segwit,SYS,Syscoin,Syscoin,Syscoin
TON-ERC20,TON,Tokamak Network,Toncoin,Toncoin
TON-ERC20,TON,TON Token,Toncoin,Toncoin
TON-ERC20,TON,Toncoin,Toncoin,Toncoin
TON-BEP20,TON,Tokamak Network,Toncoin,Toncoin
TON-BEP20,TON,TON Token,Toncoin,Toncoin
TON-BEP20,TON,Toncoin,Toncoin,Toncoin
TRX-BEP20,TRX,TRON,TRON,TRON
TSL-QRC20,TSL,Energo,Energo TSL,Energo TSL
TTT-SLP,TTT,TabTrader Token,Trinity Trust Token,Trinity Trust Token
UNO,UNO,Unobtanium,Unobtanium,Unobtanium
UNO,UNO,Uno Re,Unobtanium,Unobtanium
VET-BEP20,VET,VeChain,VeChain,VeChain
VITE-BEP20,VITE,VITE,Vite,Vite
VRSC,VRSC,VerusCoin,Verus Coin,Verus Coin
VTC,VTC,Vertcoin,Vertcoin,Vertcoin
VTC-segwit,VTC,Vertcoin,Vertcoin,Vertcoin
WAVES-BEP20,WAVES,Waves,Waves,Waves
XEC,XEC,eCash,eCash,eCash
XEP-segwit,XEP,Electra Protocol,Electra Protocol,Electra Protocol
XEP-BEP20,XEP,Electra Protocol,Electra Protocol,Electra Protocol
XLM-BEP20,XLM,Stellar,Stellar,Stellar
XNA,XNA,Neurai,Neurai,Neurai
XPM,XPM,Primecoin,Primecoin,Primecoin
XRP-BEP20,XRP,XRP,XRP,XRP
XRP-BEP20,XRP,HarryPotterObamaPacMan8Inu,XRP,XRP
XRP-ERC20,XRP,XRP,XRP,XRP
XRP-ERC20,XRP,HarryPotterObamaPacMan8Inu,XRP,XRP
XTZ-BEP20,XTZ,Tezos,Tezos,Tezos
ZEC,ZEC,Zcash,Zcash,Zcash
ZER,ZER,Zero,Zero,Zero
ZER-BEP20,ZER,Zero,Zero,Zero
ZET,ZET,Zetacoin,Zetacoin,Zetacoin
ZIL-BEP20,ZIL,Zilliqa,Zilliqa,Zilliqa
ZINU-BEP20,ZINU,Zombie Inu(New),Zombie Inu,Zombie Inu
